#          time               [KKK-P]               [KK-PP]              [K-PP]
      0.38400000E+04       0.21254092E+01       0.10736145E+04       0.98891167E+03
      0.38600000E+04       0.21254033E+01       0.10736143E+04       0.98891167E+03
      0.38800000E+04       0.21253979E+01       0.10736141E+04       0.98891166E+03
      0.39000000E+04       0.21253929E+01       0.10736139E+04       0.98891166E+03
      0.39200000E+04       0.21253884E+01       0.10736138E+04       0.98891165E+03
      0.39400000E+04       0.21253842E+01       0.10736136E+04       0.98891165E+03
      0.39600000E+04       0.21253803E+01       0.10736135E+04       0.98891165E+03
      0.39800000E+04       0.21253768E+01       0.10736134E+04       0.98891164E+03
      0.40000000E+04       0.21253735E+01       0.10736133E+04       0.98891164E+03
      0.40200000E+04       0.21253706E+01       0.10736132E+04       0.98891164E+03
      0.40400000E+04       0.21253678E+01       0.10736131E+04       0.98891164E+03
      0.40600000E+04       0.21253653E+01       0.10736130E+04       0.98891163E+03
      0.40800000E+04       0.21253630E+01       0.10736129E+04       0.98891163E+03
      0.41000000E+04       0.21253609E+01       0.10736128E+04       0.98891163E+03
      0.41200000E+04       0.21253590E+01       0.10736127E+04       0.98891163E+03
      0.41400000E+04       0.21253572E+01       0.10736127E+04       0.98891163E+03
      0.41600000E+04       0.21253556E+01       0.10736126E+04       0.98891163E+03
      0.41800000E+04       0.21253541E+01       0.10736125E+04       0.98891162E+03
      0.42000000E+04       0.21253527E+01       0.10736125E+04       0.98891162E+03
      0.42200000E+04       0.21253515E+01       0.10736124E+04       0.98891162E+03
      0.42400000E+04       0.21253503E+01       0.10736124E+04       0.98891162E+03
      0.42600000E+04       0.21253493E+01       0.10736123E+04       0.98891162E+03
      0.42800000E+04       0.21253483E+01       0.10736123E+04       0.98891162E+03
      0.43000000E+04       0.21253474E+01       0.10736123E+04       0.98891162E+03
      0.43200000E+04       0.21253466E+01       0.10736122E+04       0.98891162E+03
      0.43400000E+04       0.21253459E+01       0.10736122E+04       0.98891162E+03
      0.43600000E+04       0.21253452E+01       0.10736122E+04       0.98891162E+03
      0.43800000E+04       0.21253446E+01       0.10736122E+04       0.98891162E+03
      0.44000000E+04       0.21253440E+01       0.10736121E+04       0.98891161E+03
      0.44200000E+04       0.21253435E+01       0.10736121E+04       0.98891161E+03
      0.44400000E+04       0.21253430E+01       0.10736121E+04       0.98891161E+03
      0.44600000E+04       0.21253426E+01       0.10736121E+04       0.98891161E+03
      0.44800000E+04       0.21253422E+01       0.10736121E+04       0.98891161E+03
      0.45000000E+04       0.21253418E+01       0.10736120E+04       0.98891161E+03
      0.45200000E+04       0.21253415E+01       0.10736120E+04       0.98891161E+03
      0.45400000E+04       0.21253412E+01       0.10736120E+04       0.98891161E+03
      0.45600000E+04       0.21253409E+01       0.10736120E+04       0.98891161E+03
      0.45800000E+04       0.21253406E+01       0.10736120E+04       0.98891161E+03
      0.46000000E+04       0.21253404E+01       0.10736120E+04       0.98891161E+03
      0.46200000E+04       0.21253402E+01       0.10736120E+04       0.98891161E+03
      0.46400000E+04       0.21253400E+01       0.10736120E+04       0.98891161E+03
      0.46600000E+04       0.21253398E+01       0.10736120E+04       0.98891161E+03
      0.46800000E+04       0.21253397E+01       0.10736119E+04       0.98891161E+03
      0.47000000E+04       0.21253395E+01       0.10736119E+04       0.98891161E+03
      0.47200000E+04       0.21253394E+01       0.10736119E+04       0.98891161E+03
      0.47400000E+04       0.21253392E+01       0.10736119E+04       0.98891161E+03
      0.47600000E+04       0.21253391E+01       0.10736119E+04       0.98891161E+03
      0.47800000E+04       0.21253390E+01       0.10736119E+04       0.98891161E+03
      0.48000000E+04       0.21253389E+01       0.10736119E+04       0.98891161E+03
      0.48200000E+04       0.21253388E+01       0.10736119E+04       0.98891161E+03
      0.48400000E+04       0.21253388E+01       0.10736119E+04       0.98891161E+03
      0.48600000E+04       0.21253387E+01       0.10736119E+04       0.98891161E+03
      0.48800000E+04       0.21253386E+01       0.10736119E+04       0.98891161E+03
      0.49000000E+04       0.21253386E+01       0.10736119E+04       0.98891161E+03
      0.49200000E+04       0.21253385E+01       0.10736119E+04       0.98891161E+03
      0.49400000E+04       0.21253385E+01       0.10736119E+04       0.98891161E+03
      0.49600000E+04       0.21253384E+01       0.10736119E+04       0.98891161E+03
